subj id,runs sequence
sub-01,"Run 1, Run 2"
sub-02,"Run 1, Run 2"
sub-03,"Run 1, Run 2"
sub-04,
sub-05,"Run 2, Run 1"
sub-06,"Run 2, Run 1"
sub-07,"Run 2, Run 1"
sub-08,
sub-09,"Run 1, Run 2"
sub-10,"Run 2, Run 1"
sub-11,"Run 2, Run 1"
sub-12,"Run 2, Run 1"
sub-13,"Run 1, Run 2"
sub-14,"Run 2, Run 1"
sub-15,
sub-16,"Run 1, Run 2"
sub-17,"Run 2, Run 1"
sub-18,"Run 1, Run 2"
sub-19,"Run 1, Run 2"
sub-20,"Run 2, Run 1"
sub-21,"Run 2, Run 1"
sub-22,"Run 1, Run 2"
sub-23,"Run 2, Run 1"
sub-24,"Run 2, Run 1"
sub-25,"Run 2, Run 1"
sub-26,"Run 1, Run 2"
sub-27,"Run 2, Run 1"
sub-29,"Run 2, Run 1"
sub-30,"Run 1, Run 2"
sub-31,"Run 1, Run 2"
sub-32,"Run 1, Run 2"
sub-33,"Run 1, Run 2"
sub-34,
sub-35,"Run 2, Run 1"
sub-36,"Run 2, Run 1"
sub-37,"Run 1, Run 2"
sub-38,"Run 1, Run 2"
sub-39,"Run 2, Run 1"
sub-40,"Run 2, Run 1"
sub-42,"Run 2, Run 1"
sub-43,"Run 1, Run 2"
sub-44,"Run 1, Run 2"
